"gene_name","gene_id","gene_biotype","Mock","Rabies","log2FoldChange","padj"
"Gm43507","ENSMUSG00000104894","lncRNA",0,0,,
"Gm43504","ENSMUSG00000104990","TEC",0,0.05,2.92,
"Gm43503","ENSMUSG00000105347","TEC",0.04,0,-3.35,
"Gm3364","ENSMUSG00000105224","lncRNA",0.04,0.1,1.29,
"E030026E10Rik","ENSMUSG00000104851","TEC",0.08,0.08,0.11,
"Gm43509","ENSMUSG00000106603","TEC",0,0.02,1.78,
"Gm42750","ENSMUSG00000106656","lncRNA",0,0,,
"4930431F12Rik","ENSMUSG00000062496","lncRNA",0,0,,
"Gm10205","ENSMUSG00000067331","pseudogene",0,0,,
"D5Ertd615e","ENSMUSG00000029092","lncRNA",0,1.07,7.8,0.999947203556063
"Gm43303","ENSMUSG00000104781","lncRNA",0,0.04,2.54,
"Gm42519","ENSMUSG00000105247","TEC",0,0.01,0.35,
"Qdpr","ENSMUSG00000015806","protein_coding",180.96,89.17,-0.9,0.999947203556063
"Gm42413","ENSMUSG00000105255","lncRNA",0,0,,
"Clrn2","ENSMUSG00000049530","protein_coding",0.27,0.07,-1.87,
"Lap3","ENSMUSG00000039682","protein_coding",56.48,106.35,0.92,0.773193502866848
"Med28","ENSMUSG00000015804","protein_coding",68.11,63.25,-0.11,0.999947203556063
"Fam184b","ENSMUSG00000015879","protein_coding",11.2,8.89,-0.31,0.999947203556063
"Gm42521","ENSMUSG00000105745","TEC",0.12,0.37,1.73,
"Gm42520","ENSMUSG00000104837","TEC",0.04,0.01,-1.46,
"9630001P10Rik","ENSMUSG00000097825","lncRNA",1.59,1.43,-0.13,0.999947203556063
"Gm43367","ENSMUSG00000105634","processed_pseudogene",0.04,0.8,4.71,0.527576177916864
"Gm43366","ENSMUSG00000104665","TEC",0,0.02,1.19,
"1600023N17Rik","ENSMUSG00000104986","TEC",0.51,0.48,-0.06,0.999947203556063
"Ncapg","ENSMUSG00000015880","protein_coding",0.16,1.75,3.59,0.145281382688653
"Lcorl","ENSMUSG00000015882","protein_coding",14.11,16.5,0.23,0.999947203556063
"Gm36401","ENSMUSG00000104342","TEC",0.08,0.46,2.62,
"Gm43201","ENSMUSG00000104852","TEC",0.12,0.11,-0.11,
"Gm29036","ENSMUSG00000101587","transcribed_processed_pseudogene",0,0.08,3.55,
"Gm43200","ENSMUSG00000105457","TEC",0,0.09,3.74,
"4930449I04Rik","ENSMUSG00000105459","TEC",0,0.03,2.06,
"4930405L22Rik","ENSMUSG00000106602","lncRNA",0,0,,
"Gm7931","ENSMUSG00000067321","processed_pseudogene",0,0.01,0.35,
"Gm43093","ENSMUSG00000106875","TEC",0,0.02,1.19,
"Gm43092","ENSMUSG00000107113","TEC",0,0,,
"Gm43601","ENSMUSG00000104660","TEC",0,0,,
"Gm17824","ENSMUSG00000106402","processed_pseudogene",0.04,0,-3.35,
"Gm3010","ENSMUSG00000105616","processed_pseudogene",0,0.02,1.72,
"Gm43427","ENSMUSG00000105994","processed_pseudogene",0,0.01,0.35,
"Slit2","ENSMUSG00000031558","protein_coding",26.71,22.25,-0.25,0.999947203556063
"4930518C09Rik","ENSMUSG00000092309","lncRNA",0.04,0,-3.35,
"Gm20475","ENSMUSG00000092559","lncRNA",0,0,,
"Gm43426","ENSMUSG00000106214","TEC",0,0.03,2.06,
"Gm42536","ENSMUSG00000105502","TEC",0,0.09,3.65,
"Gm42537","ENSMUSG00000105184","TEC",0,0,,
"Mir218-1","ENSMUSG00000065603","miRNA",0,0.02,1.39,
"Gm42534","ENSMUSG00000105086","TEC",0,0.04,2.54,
"Gm42535","ENSMUSG00000106604","TEC",0,0.01,0.35,
"5730480H06Rik","ENSMUSG00000029089","protein_coding",8.51,8.26,-0.04,0.999947203556063
"Kcnip4","ENSMUSG00000029088","protein_coding",53.22,36.41,-0.51,0.999947203556063
"Gm43831","ENSMUSG00000105653","TEC",0.04,0.03,-0.38,
"Gm20700","ENSMUSG00000093502","lncRNA",0.58,0.39,-0.58,0.999947203556063
"Gm43648","ENSMUSG00000105574","TEC",0.04,0.05,0.46,
"Gm19031","ENSMUSG00000093748","processed_pseudogene",0.12,0.02,-2.33,
"Gm43829","ENSMUSG00000105530","TEC",0.31,0.09,-1.78,
"Gm43830","ENSMUSG00000105454","TEC",0.16,0.17,0.16,
"Gm43319","ENSMUSG00000105958","TEC",0.19,0.08,-1.29,
"Gm42919","ENSMUSG00000106404","TEC",0.08,0.04,-0.88,
"Gm43321","ENSMUSG00000106408","TEC",0.16,0.05,-1.51,
"Gm43320","ENSMUSG00000106414","TEC",0.12,0.21,0.85,
"Gm10025","ENSMUSG00000057577","pseudogene",0.04,0.05,0.46,
"Gm10048","ENSMUSG00000103544","TEC",0.23,0.14,-0.69,
"Gm43318","ENSMUSG00000105974","TEC",0.35,0.27,-0.3,
"Gm43341","ENSMUSG00000105791","TEC",0.19,0.19,-0.06,
"C030015E24Rik","ENSMUSG00000106469","TEC",0.51,0.21,-1.27,
"Gm43317","ENSMUSG00000104655","TEC",0.23,0.1,-1.17,
"Gm43316","ENSMUSG00000105332","TEC",0.23,0.16,-0.51,
"Gm42766","ENSMUSG00000104929","TEC",0.16,0.06,-1.22,
"Gm43046","ENSMUSG00000106244","TEC",0.19,0.04,-2.44,
"Gm43047","ENSMUSG00000105620","TEC",0.27,0.19,-0.45,
"Gm42767","ENSMUSG00000104562","TEC",0.12,0.12,0.13,
"Gm42768","ENSMUSG00000104661","TEC",0.35,0.15,-1.2,
"Gm42769","ENSMUSG00000105922","TEC",1.09,0.59,-0.86,0.999947203556063
"Gm42770","ENSMUSG00000105983","TEC",1.32,0.88,-0.56,0.999947203556063
"Gm43048","ENSMUSG00000105828","TEC",0.35,0.22,-0.7,
"Gm42771","ENSMUSG00000106579","TEC",0.16,0.12,-0.29,
"Gm42772","ENSMUSG00000105700","TEC",2.41,1.35,-0.82,0.999947203556063
"Gm19932","ENSMUSG00000093490","processed_pseudogene",0.35,0.2,-0.78,
"Gm43670","ENSMUSG00000106539","TEC",0.19,0.11,-0.84,
"2900064K03Rik","ENSMUSG00000105771","TEC",0.39,0.23,-0.68,
"Gm5555","ENSMUSG00000083477","processed_pseudogene",0.16,0.14,-0.12,
"Gm7988","ENSMUSG00000105540","processed_pseudogene",0,0,,
"Gm42461","ENSMUSG00000104634","TEC",0,0.01,0.35,
"Adgra3","ENSMUSG00000029090","protein_coding",24.41,28.18,0.22,0.999947203556063
"Gm42460","ENSMUSG00000106430","TEC",0.04,0.11,1.55,
"4930448I18Rik","ENSMUSG00000104870","lncRNA",0,0,,
"Gm7205","ENSMUSG00000105020","unprocessed_pseudogene",0,0,,
"Mir8117","ENSMUSG00000099124","miRNA",0,0.02,1.72,
"Gm22618","ENSMUSG00000095857","snRNA",0.04,0.01,-1.46,
"Gm36814","ENSMUSG00000105423","lncRNA",0,0.02,1.19,
"Gm42459","ENSMUSG00000106345","processed_pseudogene",0,0,,
"Gm43016","ENSMUSG00000105320","lncRNA",0,0,,
"Gm4962","ENSMUSG00000106038","transcribed_processed_pseudogene",0,0.01,0.35,
"Gm43014","ENSMUSG00000105931","TEC",0,0,,
"Gm43015","ENSMUSG00000105273","processed_pseudogene",0,0,,
"Gm40319","ENSMUSG00000106267","processed_pseudogene",0,0.01,0.35,
"Gm44377","ENSMUSG00000104635","miRNA",0,0,,
"Ppargc1a","ENSMUSG00000029167","protein_coding",40.93,52.34,0.36,0.999947203556063
"Gm42614","ENSMUSG00000105442","TEC",0.04,0.05,0.29,
"Gm42615","ENSMUSG00000105622","TEC",0.08,0.02,-1.65,
"Gm42613","ENSMUSG00000106575","TEC",0.04,0,-3.35,
"Gm43605","ENSMUSG00000105762","TEC",0,0.04,2.33,
"Gm43606","ENSMUSG00000105663","TEC",0,0.1,3.74,
"Gm42616","ENSMUSG00000106010","TEC",0.19,0.08,-1.18,
"Gm42617","ENSMUSG00000104919","TEC",0,0.04,2.57,
"Gm43175","ENSMUSG00000105942","TEC",0.39,0.35,-0.14,0.999947203556063
"Gm43174","ENSMUSG00000106292","TEC",0.54,0.34,-0.68,0.999947203556063
"Gm43177","ENSMUSG00000104847","lncRNA",0.08,0.02,-2.27,
"Mir6417","ENSMUSG00000098726","miRNA",0,0,,
"Gm43176","ENSMUSG00000106648","TEC",0.04,0.2,2.35,
"Dhx15","ENSMUSG00000029169","protein_coding",77.86,117.67,0.64,0.999947203556063
"Gm43178","ENSMUSG00000106607","TEC",0,0.02,1.78,
"9230114K14Rik","ENSMUSG00000097145","lncRNA",1.28,1.3,0.02,0.999947203556063
"C130083M11Rik","ENSMUSG00000106464","lncRNA",1.59,1.45,-0.09,0.999947203556063
"Gm43180","ENSMUSG00000105328","TEC",0.08,0.03,-1.33,
"Gm43179","ENSMUSG00000104751","lncRNA",0,0,,
"Gm25601","ENSMUSG00000088981","snRNA",0,0,,
"Sod3","ENSMUSG00000072941","protein_coding",22.94,29.53,0.37,0.999947203556063
"Ccdc149","ENSMUSG00000045790","protein_coding",93.02,77.13,-0.27,0.999947203556063
"Gm3519","ENSMUSG00000106380","lncRNA",0,0.15,4.39,
"Lgi2","ENSMUSG00000039252","protein_coding",149.55,100.77,-0.52,0.999947203556063
"Gm43685","ENSMUSG00000104829","lncRNA",0.08,0.02,-1.74,
"Gm43686","ENSMUSG00000104974","TEC",0.08,0.08,0,
"Gm5866","ENSMUSG00000095078","processed_pseudogene",0,0.04,2.54,
"8030423F21Rik","ENSMUSG00000052295","lncRNA",0.16,0.06,-1.22,
"Sepsecs","ENSMUSG00000029173","protein_coding",18.54,16.59,-0.16,0.999947203556063
"Pi4k2b","ENSMUSG00000029186","protein_coding",1.71,3.65,1.11,0.999947203556063
"Zcchc4","ENSMUSG00000029179","protein_coding",11.9,10.62,-0.16,0.999947203556063
"Anapc4","ENSMUSG00000029176","protein_coding",56.87,64.82,0.2,0.999947203556063
"Gm43664","ENSMUSG00000105054","processed_pseudogene",0,0,,
"Gm23532","ENSMUSG00000077757","snoRNA",0,0,,
"5033403H07Rik","ENSMUSG00000106352","lncRNA",0,0,,
"Gm30301","ENSMUSG00000106538","lncRNA",0,0.02,1.19,
"Slc34a2","ENSMUSG00000029188","protein_coding",0.08,0.23,1.62,
"Gm17182","ENSMUSG00000090642","lncRNA",0,0,,
"Sel1l3","ENSMUSG00000029189","protein_coding",79.69,56.8,-0.44,0.999947203556063
"n-R5s171","ENSMUSG00000077316","rRNA",0.04,0.01,-2.09,
"Smim20","ENSMUSG00000061461","protein_coding",22.86,18.67,-0.29,0.999947203556063
"Gm45495","ENSMUSG00000106981","lncRNA",11.55,8.63,-0.37,0.999947203556063
"n-R5s172","ENSMUSG00000077696","rRNA",0.04,0.01,-2.09,
"Gm42745","ENSMUSG00000106808","lncRNA",0,0.02,1.19,
"Gm26486","ENSMUSG00000088646","rRNA",0,0,,
"Rbpj","ENSMUSG00000039191","protein_coding",11.35,13.02,0.2,0.999947203556063
"Gm10441","ENSMUSG00000106807","lncRNA",0.12,0.07,-0.85,
"Gm40304","ENSMUSG00000107111","lncRNA",0,0.01,0.35,
"Cckar","ENSMUSG00000029193","protein_coding",0.66,0.78,0.25,0.999947203556063
"Tbc1d19","ENSMUSG00000039178","protein_coding",27.56,26.4,-0.06,0.999947203556063
"Gm43268","ENSMUSG00000107182","TEC",8.67,7.33,-0.23,0.999947203556063
"Gm43266","ENSMUSG00000107173","TEC",0.16,0.27,0.8,
"Stim2","ENSMUSG00000039156","protein_coding",53.8,56.58,0.07,0.999947203556063
"Gm15820","ENSMUSG00000107105","processed_pseudogene",0.04,0.02,-1.26,
"Gm10440","ENSMUSG00000105912","lncRNA",0.12,0.03,-1.65,
"Gm18451","ENSMUSG00000106529","processed_pseudogene",0,0,,
"Gm8069","ENSMUSG00000105143","processed_pseudogene",0,0.04,2.33,
"Gm43781","ENSMUSG00000106126","TEC",0,0,,
"Gm24235","ENSMUSG00000077507","snoRNA",0,0,,
"Gm43779","ENSMUSG00000106113","processed_pseudogene",0,0,,
"Gm25513","ENSMUSG00000065795","snRNA",0,0,,
"Gm43780","ENSMUSG00000105702","TEC",0,0,,
"Gm43396","ENSMUSG00000105384","processed_pseudogene",0,0,,
"Gm43199","ENSMUSG00000105551","processed_pseudogene",0,0,,
"Gm15975","ENSMUSG00000083902","processed_pseudogene",0.7,0.81,0.24,0.999947203556063
"Gm43778","ENSMUSG00000105186","TEC",0,0,,
"Gm20223","ENSMUSG00000106335","processed_pseudogene",0,0,,
"Gm43705","ENSMUSG00000105678","TEC",0,0.01,0.35,
"Gm43315","ENSMUSG00000105685","processed_pseudogene",0,0,,
"Gm42977","ENSMUSG00000106326","transcribed_processed_pseudogene",0,0,,
"Gm23896","ENSMUSG00000088734","snoRNA",0,0,,
"Gm24902","ENSMUSG00000088751","snoRNA",0,0,,
"Gm23015","ENSMUSG00000077333","snoRNA",0,0,,
"Gm3283","ENSMUSG00000104739","processed_pseudogene",0,0,,
"Gm8115","ENSMUSG00000104560","processed_pseudogene",0.12,0.07,-0.56,
"Gm18901","ENSMUSG00000105291","processed_pseudogene",0,0,,
"Gm43706","ENSMUSG00000105693","TEC",0,0.02,1.19,
"Gm6615","ENSMUSG00000104892","processed_pseudogene",0,0.02,1.72,
"4932441J04Rik","ENSMUSG00000097216","lncRNA",4.43,2.7,-0.65,0.999947203556063
"Gm8121","ENSMUSG00000051116","processed_pseudogene",0,0.02,1.72,
"Gm43002","ENSMUSG00000104924","TEC",0,0.02,1.78,
"Gm42634","ENSMUSG00000106517","TEC",0,0,,
"Pcdh7","ENSMUSG00000029108","protein_coding",91.35,76.45,-0.25,0.999947203556063
"Gm42635","ENSMUSG00000105940","TEC",0.04,0.08,1,
"Gm42481","ENSMUSG00000104821","TEC",0,0.01,0.35,
"Gm42480","ENSMUSG00000105637","TEC",0.08,0.05,-0.52,
"Gm42482","ENSMUSG00000105050","TEC",0.04,0.01,-1.46,
"Gm17977","ENSMUSG00000104564","transcribed_processed_pseudogene",0,0,,
"Gm43715","ENSMUSG00000105079","TEC",0.04,0.04,-0.14,
"Gm42479","ENSMUSG00000105877","TEC",0,0.01,0.98,
"Gm42478","ENSMUSG00000106337","TEC",0.04,0,-3.35,
"Gm42639","ENSMUSG00000104871","TEC",0.93,0.33,-1.46,0.999947203556063
"Gm42640","ENSMUSG00000105431","TEC",0.04,0.02,-0.66,
"Gm42484","ENSMUSG00000104709","TEC",0.08,0.04,-0.86,
"Gm37720","ENSMUSG00000103959","TEC",0.12,0.07,-0.83,
"Gm42483","ENSMUSG00000106646","TEC",0,0,,
"Gm42486","ENSMUSG00000105049","TEC",0.04,0.11,1.55,
"Gm42976","ENSMUSG00000105525","processed_pseudogene",0,0.01,0.35,
"Gm43045","ENSMUSG00000106146","TEC",0,0.01,0.98,
"Gm42999","ENSMUSG00000105269","unprocessed_pseudogene",0,0,,
"Gm22536","ENSMUSG00000088796","snoRNA",0,0,,
"4930459L07Rik","ENSMUSG00000105234","lncRNA",0,0,,
"1700029E06Rik","ENSMUSG00000100557","lncRNA",0,0.02,1.19,
"Gm43394","ENSMUSG00000106509","processed_pseudogene",0,0,,
"Gm6632","ENSMUSG00000094696","processed_pseudogene",0,0,,
"Gm43395","ENSMUSG00000106467","TEC",0,0,,
"Gm22308","ENSMUSG00000096124","snRNA",0,0,,
"Gm43044","ENSMUSG00000105038","processed_pseudogene",0,0,,
"Gm43042","ENSMUSG00000106634","lncRNA",0,0,,
"Gm43043","ENSMUSG00000104889","processed_pseudogene",0,0,,
"Gm43041","ENSMUSG00000104563","TEC",0,0.01,0.35,
"4933402J10Rik","ENSMUSG00000106013","lncRNA",0.04,0,-3.35,
"Gm42862","ENSMUSG00000105158","TEC",0,0,,
"Gm43392","ENSMUSG00000106250","processed_pseudogene",0,0,,
"Gm43393","ENSMUSG00000106170","processed_pseudogene",0,0,,
"Gm42861","ENSMUSG00000106042","processed_pseudogene",0,0,,
"Cbfa2t2-ps1","ENSMUSG00000087034","processed_pseudogene",0.04,0.01,-2.09,
"Gm23331","ENSMUSG00000088048","snRNA",0,0,,
"Gm43390","ENSMUSG00000106548","processed_pseudogene",0,0,,
"Gm3372","ENSMUSG00000105486","processed_pseudogene",0,0,,
"Gm23708","ENSMUSG00000077555","snoRNA",0,0,,
"Gm42860","ENSMUSG00000106044","TEC",0,0.03,2.06,
"Gm8182","ENSMUSG00000104775","processed_pseudogene",0,0,,
"1700014F14Rik","ENSMUSG00000105903","lncRNA",0,0,,
"Gm43382","ENSMUSG00000106370","processed_pseudogene",0,0.01,0.35,
"Gm43383","ENSMUSG00000105675","processed_pseudogene",0,0,,
"Gm43384","ENSMUSG00000105573","processed_pseudogene",0,0,,
"G6pd2","ENSMUSG00000089992","protein_coding",0.04,0.06,0.64,
"Gm42430","ENSMUSG00000106530","processed_pseudogene",0,0,,
"Gm22273","ENSMUSG00000077228","snoRNA",0,0,,
"Gm43238","ENSMUSG00000105285","TEC",0,0,,
"Gm24079","ENSMUSG00000094239","snoRNA",0,0,,
"Arap2","ENSMUSG00000037999","protein_coding",70.56,86.54,0.3,0.999947203556063
"Gm43237","ENSMUSG00000105694","TEC",0.31,0.53,0.78,0.999947203556063
"Gm43753","ENSMUSG00000105707","TEC",0.08,0.09,0.21,
"Dthd1","ENSMUSG00000090326","protein_coding",0.04,0.16,2.1,
"Gm9954","ENSMUSG00000104868","TEC",4.98,2.69,-0.67,0.999947203556063
"Nwd2","ENSMUSG00000090061","protein_coding",27.06,18.03,-0.5,0.999947203556063
"Gm3687","ENSMUSG00000090138","processed_pseudogene",0.08,0.01,-3.09,
"0610040J01Rik","ENSMUSG00000060512","protein_coding",4.47,4.55,0.02,0.999947203556063
"Rell1","ENSMUSG00000047881","protein_coding",15.04,16.66,0.15,0.999947203556063
"Gm15819","ENSMUSG00000087552","lncRNA",0.04,0.03,-0.35,
"Gm43840","ENSMUSG00000106076","processed_pseudogene",0,0,,
"Gm25608","ENSMUSG00000077209","snoRNA",0,0,,
"5830416I19Rik","ENSMUSG00000106219","lncRNA",0.04,0.05,0.31,
"Pgm2","ENSMUSG00000029171","protein_coding",8.44,13.35,0.7,0.999947203556063
"Gm23967","ENSMUSG00000094244","miRNA",0,0,,
"Gm22395","ENSMUSG00000093780","miRNA",0,0,,
"Gm22559","ENSMUSG00000087954","snoRNA",0,0,,
"Tbc1d1","ENSMUSG00000029174","protein_coding",31.99,48.65,0.66,0.999947203556063
"Gm15824","ENSMUSG00000083435","processed_pseudogene",0,0.04,2.54,
"Gm43721","ENSMUSG00000104947","TEC",0.04,0.01,-1.46,
"Gm15823","ENSMUSG00000081143","processed_pseudogene",0,0,,
"Gm6044","ENSMUSG00000083100","processed_pseudogene",0.08,0.02,-1.74,
"Gm43838","ENSMUSG00000105730","lncRNA",0,0,,
"Gm43837","ENSMUSG00000105443","lncRNA",0,0,,
"Gm31363","ENSMUSG00000105105","lncRNA",0,0.02,1.19,
"1700027F09Rik","ENSMUSG00000100911","lncRNA",0,0,,
"4930526M16Rik","ENSMUSG00000105251","TEC",0,0,,
"C030018K13Rik","ENSMUSG00000105352","lncRNA",1.05,0.29,-1.6,0.999947203556063
"Gm43836","ENSMUSG00000106566","TEC",0,0.02,1.19,
"Gm43835","ENSMUSG00000104961","TEC",0,0,,
"Gm42566","ENSMUSG00000104806","TEC",0,0.01,0.98,
"Gm3716","ENSMUSG00000105402","lncRNA",1.13,1.32,0.37,0.999947203556063
"Gm42564","ENSMUSG00000105183","lncRNA",0,0,,
"Gm42565","ENSMUSG00000104928","lncRNA",0,0,,
"Gm25306","ENSMUSG00000093029","miRNA",0,0,,
"Gm26761","ENSMUSG00000097668","lncRNA",0.12,0.14,0.23,
"Gm20033","ENSMUSG00000097640","lncRNA",4.24,2.56,-0.68,0.999947203556063
"Klf3","ENSMUSG00000029178","protein_coding",23.13,31.76,0.47,0.999947203556063
"C230096K16Rik","ENSMUSG00000106205","TEC",0.89,0.78,-0.2,0.999947203556063
"Tlr1","ENSMUSG00000044827","protein_coding",2.29,8.74,1.93,0.0737430316475996
"Tlr6","ENSMUSG00000051498","protein_coding",0.89,3.9,2.16,0.224992314813835
"Fam114a1","ENSMUSG00000029185","protein_coding",6.38,8.46,0.44,0.999947203556063
"Mir574","ENSMUSG00000077042","miRNA",0.04,0,-3.35,
"Gm43627","ENSMUSG00000106186","TEC",0,0.02,1.19,
"Tmem156","ENSMUSG00000037913","protein_coding",0.23,0.6,1.37,0.999947203556063
"Klhl5","ENSMUSG00000054920","protein_coding",64.65,52.63,-0.29,0.999947203556063
"Gm25154","ENSMUSG00000087748","rRNA",0,0.01,0.35,
"Wdr19","ENSMUSG00000037890","protein_coding",27.33,22.65,-0.25,0.999947203556063
"Rfc1","ENSMUSG00000029191","protein_coding",38.25,51.13,0.42,0.999947203556063
"Gm43628","ENSMUSG00000105935","TEC",0.12,0.16,0.47,
"Klb","ENSMUSG00000029195","protein_coding",0.43,0.59,0.47,0.999947203556063
"Rpl9","ENSMUSG00000047215","protein_coding",176.8,233.58,0.46,0.999947203556063
"Lias","ENSMUSG00000029199","protein_coding",36.85,37.55,0.03,0.999947203556063
"1110003F10Rik","ENSMUSG00000106291","TEC",0.47,0.61,0.37,0.999947203556063
"Gm43311","ENSMUSG00000105896","TEC",0.39,0.4,0.04,0.999947203556063
"Ugdh","ENSMUSG00000029201","protein_coding",24.37,30.58,0.33,0.999947203556063
"Gm43552","ENSMUSG00000105835","protein_coding",0,0,,
"Gm43289","ENSMUSG00000104917","TEC",0,0.02,1.78,
"Smim14","ENSMUSG00000037822","protein_coding",122.22,106.38,-0.19,0.999947203556063
"Gm43290","ENSMUSG00000104641","TEC",0.19,0.22,0.19,
"4930589O11Rik","ENSMUSG00000107195","TEC",0.12,0.17,0.52,
"Gm42725","ENSMUSG00000105601","TEC",0.51,0.87,0.79,0.999947203556063
"Ube2k","ENSMUSG00000029203","protein_coding",111.02,102.68,-0.11,0.999947203556063
"Gm40309","ENSMUSG00000107362","TEC",0.19,0.26,0.41,
"Gm42726","ENSMUSG00000107102","lncRNA",0.27,0.41,0.58,0.999947203556063
"Pds5a","ENSMUSG00000029202","protein_coding",45.99,52.61,0.19,0.999947203556063
"Gm42727","ENSMUSG00000106767","TEC",0.58,0.76,0.37,0.999947203556063
"Gm42729","ENSMUSG00000106696","TEC",0.08,0.08,0.11,
"Gm24399","ENSMUSG00000088494","snRNA",0,0.01,0.98,
"Gm42728","ENSMUSG00000107158","TEC",0.04,0.02,-0.66,
"C030017G13Rik","ENSMUSG00000107050","TEC",0.04,0.02,-1.06,
"N4bp2os","ENSMUSG00000106978","lncRNA",3.5,3.2,-0.13,0.999947203556063
"N4bp2","ENSMUSG00000037795","protein_coding",13.33,15.91,0.26,0.999947203556063
"Gm24346","ENSMUSG00000089337","snoRNA",0.04,0.05,0.29,
"Gm42648","ENSMUSG00000106682","TEC",0.12,0.14,0.31,
"Gm42645","ENSMUSG00000106713","TEC",0,0.01,0.35,
"Gm42646","ENSMUSG00000106776","TEC",0,0,,
"Gm43004","ENSMUSG00000106681","TEC",0,0.02,1.19,
"Rhoh","ENSMUSG00000029204","protein_coding",0.89,3.92,2.13,0.200805670140888
"Gm43769","ENSMUSG00000107254","TEC",0,0.08,3.44,
"Chrna9","ENSMUSG00000029205","protein_coding",0,0.07,3.2,
"4930480C01Rik","ENSMUSG00000106768","TEC",0.04,0.02,-1.26,
"Gm43771","ENSMUSG00000107049","TEC",0,0,,
"9130230L23Rik","ENSMUSG00000054598","protein_coding",0,0.06,3.06,
"Gm25952","ENSMUSG00000093070","miRNA",0,0,,
"Rbm47","ENSMUSG00000070780","protein_coding",1.67,4.52,1.45,0.781977395733188
"Gm43775","ENSMUSG00000107304","TEC",0,0.06,3.21,
"Gm43323","ENSMUSG00000107390","TEC",0,0.04,2.33,
"Gm26725","ENSMUSG00000097092","lncRNA",0.12,0.01,-3.03,
"Gm22929","ENSMUSG00000093258","snRNA",0,0,,
"1700126H18Rik","ENSMUSG00000107014","lncRNA",0,0,,
"Gm43772","ENSMUSG00000107069","transcribed_processed_pseudogene",0,0,,
"Gm15794","ENSMUSG00000084108","processed_pseudogene",0,0,,
"Gm3822","ENSMUSG00000107125","TEC",0,0,,
"Nsun7","ENSMUSG00000029206","protein_coding",6.69,7.93,0.27,0.999947203556063
"Apbb2","ENSMUSG00000029207","protein_coding",57.65,58.02,0.01,0.999947203556063
"Gm43790","ENSMUSG00000106818","TEC",0.08,0.18,1.21,
"Gm23183","ENSMUSG00000084544","misc_RNA",0.12,0.03,-1.65,
"Gm43793","ENSMUSG00000107155","TEC",0,0.07,3.33,
"Gm16273","ENSMUSG00000106910","processed_pseudogene",0,0,,
"Gm43792","ENSMUSG00000106732","TEC",0,0.05,2.74,
"Gm43794","ENSMUSG00000106772","TEC",0.04,0.04,0.13,
"Gm43343","ENSMUSG00000107091","TEC",0.16,0.27,0.79,
"Gm43795","ENSMUSG00000106720","TEC",0,0.08,3.45,
"C530043K16Rik","ENSMUSG00000106706","TEC",0.08,0.19,1.3,
"Uchl1os","ENSMUSG00000087601","lncRNA",0.31,0.29,-0.12,
"Uchl1","ENSMUSG00000029223","protein_coding",596.4,371.58,-0.63,0.999947203556063
"Gm43279","ENSMUSG00000107300","TEC",0.35,1.04,1.68,0.999947203556063
"Gm43280","ENSMUSG00000107284","TEC",0,0.04,2.31,
"Limch1","ENSMUSG00000037736","protein_coding",142.94,122.62,-0.22,0.999947203556063
"Gm6517","ENSMUSG00000082420","processed_pseudogene",0.12,0.12,0.05,
"Gm43281","ENSMUSG00000106749","TEC",0.04,0.12,1.63,
"Gm43282","ENSMUSG00000107290","TEC",0,0.01,0.98,
"Gm15949","ENSMUSG00000085839","lncRNA",0,0,,
"Gm15948","ENSMUSG00000086964","lncRNA",0.12,0.16,0.42,
"Gm42713","ENSMUSG00000106785","TEC",0,0,,
"Gm23841","ENSMUSG00000080601","miRNA",0.04,0.04,0.11,
"Phox2b","ENSMUSG00000012520","protein_coding",1.59,1.54,-0.05,0.999947203556063
"Gm33167","ENSMUSG00000106995","TEC",0.04,0.06,0.63,
"Gm42670","ENSMUSG00000107319","lncRNA",0.16,0.14,-0.17,
"Tmem33","ENSMUSG00000037720","protein_coding",79.03,74.18,-0.09,0.999947203556063
"Slc30a9","ENSMUSG00000029221","protein_coding",186.32,143.46,-0.36,0.999947203556063
"Gm43698","ENSMUSG00000107266","lncRNA",0.04,0.2,2.47,
"Bend4","ENSMUSG00000092060","protein_coding",12.56,11.71,-0.08,0.999947203556063
"Gm26756","ENSMUSG00000097840","lncRNA",0.74,0.5,-0.46,0.999947203556063
"Gm42632","ENSMUSG00000106832","TEC",0.27,0.28,0.02,
"Gm20072","ENSMUSG00000106925","processed_pseudogene",0,0.02,1.72,
"C330024D21Rik","ENSMUSG00000107385","lncRNA",0.47,0.58,0.35,0.999947203556063
"1700025A08Rik","ENSMUSG00000106947","TEC",0,0.13,4.2,
"Shisa3","ENSMUSG00000050010","protein_coding",7.35,4.28,-0.69,0.999947203556063
"Atp8a1","ENSMUSG00000037685","protein_coding",178.24,217.83,0.3,0.999947203556063
"Gm23617","ENSMUSG00000094435","miRNA",0,0.01,0.35,
"Gm42735","ENSMUSG00000107041","TEC",0.82,0.87,0.1,0.999947203556063
"Gm15478","ENSMUSG00000085363","lncRNA",0.62,0.58,-0.06,0.999947203556063
"Gm42737","ENSMUSG00000106859","TEC",0.04,0.04,0.13,
"D630030B08Rik","ENSMUSG00000106837","TEC",0.08,0.02,-1.65,
"Gm42466","ENSMUSG00000107136","TEC",0.27,0.27,-0.01,
"Gm15477","ENSMUSG00000087261","lncRNA",0.62,0.62,0.01,0.999947203556063
"Gm42736","ENSMUSG00000107206","TEC",0,0,,
